KD-Nr.;Firma;Land;PLZ;Ort;UmsatzKL;Verk.;SP;SP2;Bl;Umsatz AJ;Umsatz VJ;Umsatz VVJ;l Besuch;UK;PN1;PN2;NKEB;WV;WV u;QB;VP
3;tvsewaxpoc;NL;;Bad Wildbad;;17;;;;;;;;;;;;;;;
5;ozzcvlyh;D;;Hildesheim;;1;;;;;;;04.02.2009;;;;;;;;
6;scwcghoqbmrie;Griechenland;11527;Düsseldorf;;75;;;;;;;27.01.2011;;;;;;;;
7;jqknlzexjbmmyymq;Griechenland;;Münster;;75;;;;;;;21.05.2010;;;;;;;;
10;om;D;33602;Reutlingen;;8;;;;;;;;;;;;;;;
13;lemtfszh;D;65451;Sofia;;7;;;;;;;17.06.2014;;;;;;;;
14;wohvxlqtxhlqmdeotz;D;;Nordendorf;;6;;;;;;;09.10.2014;;;;;;;;
17;bepvyby;D;69207;Neukloster;;6;;;;;;;;;;;;;;;
18;ewtbtuedlcrwpxrqw;D;8297;Heidenroth/Laufenselden;;44;;;;;;;;;;;;;;;
24;gyvddctt;D;52070;Finnentrop;;14;;;;;;;;;;;;;;;
25;rnpsweood;Vietnam;;Mannheim;;75;;;;;;;29.10.2008;;;;;;;;
27;pxbadq;D;10978;Bremen;;1;;;;;;;;;;;;;;;
28;thwprrbwgkffwx;D;44263;Bonn;;19;;;;;;;24.09.2009;;;;;;;;
31;d;Taiwan;241;Köln;;75;;;;;;;;;;;;;;;
36;ordqfbjlc;D;31134;Dillenburg;;12;;;;;;;;;;;;;;;
39;bbtdiy;D;41061;Straubing;;9;;;;;;;;;;;;;;;
43;htah;D;35037;Kirrweiler;;7;;;;;;;;;;;;;;;
44;fymqw;D;22081;Frankfurt;;5;;;;;;;15.07.2009;;;;;;;;
46;rgejokfexfhizlsk;D;6108;Ingelheim;;44;;;;;;;;;;;;;;;
47;kkgegyk;D;;Reutlingen;;9;;;;;;;;;;;;;;;
49;eqrfqofqvoyruu;D;6108;Ostfildern;;44;;;;;;;19.01.2015;;;;;;;;
